|    |   Input Length |   Output Length |   #Requests_FP8 |   Batch Size |   GPUs |   num_samples_FP8 |   num_error_samples_FP8 |   total_latency(ms)_FP8 |   seq_throughput(seq/sec)_FP8 |   Token Throughput_FP8 |   avg_sequence_latency(ms)_FP8 |   max_sequence_latency(ms)_FP8 |   min_sequence_latency(ms)_FP8 |   p99_sequence_latency(ms)_FP8 |   p90_sequence_latency(ms)_FP8 |   p50_sequence_latency(ms)_FP8 |   Prefill Latency_FP8 |   max_time_to_first_token(ms)_FP8 |   min_time_to_first_token(ms)_FP8 |   p99_time_to_first_token(ms)_FP8 |   p90_time_to_first_token(ms)_FP8 |   p50_time_to_first_token(ms)_FP8 |   Inter-Token Latency_FP8 |   max_inter_token_latency(ms)_FP8 |   min_inter_token_latency(ms)_FP8 |   p99_inter_token_latency(ms)_FP8 |   p90_inter_token_latency(ms)_FP8 |   p50_inter_token_latency(ms)_FP8 |   util_min_FP8 |   util_max_FP8 |   Compute Utilization_FP8 |   mem_min_FP8 |   mem_max_FP8 |   mem_avg_FP8 |   #Requests_FP16 |   num_samples_FP16 |   num_error_samples_FP16 |   total_latency(ms)_FP16 |   seq_throughput(seq/sec)_FP16 |   Token Throughput_FP16 |   avg_sequence_latency(ms)_FP16 |   max_sequence_latency(ms)_FP16 |   min_sequence_latency(ms)_FP16 |   p99_sequence_latency(ms)_FP16 |   p90_sequence_latency(ms)_FP16 |   p50_sequence_latency(ms)_FP16 |   Prefill Latency_FP16 |   max_time_to_first_token(ms)_FP16 |   min_time_to_first_token(ms)_FP16 |   p99_time_to_first_token(ms)_FP16 |   p90_time_to_first_token(ms)_FP16 |   p50_time_to_first_token(ms)_FP16 |   Inter-Token Latency_FP16 |   max_inter_token_latency(ms)_FP16 |   min_inter_token_latency(ms)_FP16 |   p99_inter_token_latency(ms)_FP16 |   p90_inter_token_latency(ms)_FP16 |   p50_inter_token_latency(ms)_FP16 |   util_min_FP16 |   util_max_FP16 |   Compute Utilization_FP16 |   mem_min_FP16 |   mem_max_FP16 |   mem_avg_FP16 |
|---:|---------------:|----------------:|----------------:|-------------:|-------:|------------------:|------------------------:|------------------------:|------------------------------:|-----------------------:|-------------------------------:|-------------------------------:|-------------------------------:|-------------------------------:|-------------------------------:|-------------------------------:|----------------------:|----------------------------------:|----------------------------------:|----------------------------------:|----------------------------------:|----------------------------------:|--------------------------:|----------------------------------:|----------------------------------:|----------------------------------:|----------------------------------:|----------------------------------:|---------------:|---------------:|--------------------------:|--------------:|--------------:|--------------:|-----------------:|-------------------:|-------------------------:|-------------------------:|-------------------------------:|------------------------:|--------------------------------:|--------------------------------:|--------------------------------:|--------------------------------:|--------------------------------:|--------------------------------:|-----------------------:|-----------------------------------:|-----------------------------------:|-----------------------------------:|-----------------------------------:|-----------------------------------:|---------------------------:|-----------------------------------:|-----------------------------------:|-----------------------------------:|-----------------------------------:|-----------------------------------:|----------------:|----------------:|---------------------------:|---------------:|---------------:|---------------:|
|  0 |            128 |            2048 |              32 |            2 |      4 |                32 |                       0 |        371147           |                     0.0862193 |                176.577 |                        23196.6 |                        23321.6 |                        23152.7 |                        23321.6 |                        23204.7 |                        23191.9 |               47.2639 |                          223.972  |                           35.3291 |                          223.972  |                           35.6661 |                           35.4682 |                  11.3089  |                          11.3186  |                          11.2836  |                          11.3186  |                          11.3163  |                          11.3117  |              0 |            100 |                   90.0603 |   0.000695551 |       95.5047 |       87.3007 |               32 |                 32 |                        0 |         579076           |                      0.0552605 |                113.173  |                         36191.6 |                         36300.4 |                         36019.4 |                         36300.4 |                         36256.6 |                         36179.6 |                74.6303 |                            299.808 |                            41.1668 |                            299.808 |                           151.806  |                            50.2903 |                    17.6439 |                            17.6897 |                            17.5761 |                            17.6897 |                            17.6871 |                            17.6355 |               0 |             100 |                    91.2207 |    0.000695551 |        96.1334 |        89.092  |
|  1 |            128 |            2048 |            1024 |           64 |      2 |              1024 |                       0 |        620534           |                     1.65019   |               3379.59  |                        38782.4 |                        38829   |                        38745.1 |                        38813.3 |                        38806.6 |                        38784.1 |              576.037  |                          701.932  |                          571.175  |                          590.931  |                          577.849  |                          575.643  |                  18.6645  |                          18.6776  |                          18.6258  |                          18.6776  |                          18.6755  |                          18.6657  |              0 |            100 |                   92.0537 |   0.000695551 |       96.1362 |       89.8371 |             1024 |               1024 |                        0 |         944680           |                      1.08397   |               2219.96   |                         59040.7 |                         59189.7 |                         58919.8 |                         59163   |                         59077.4 |                         59060.9 |              1007.22   |                           1204.85  |                          1002.72   |                           1032.83  |                          1008.26   |                          1005.6    |                    28.3504 |                            28.3978 |                            28.2835 |                            28.3978 |                            28.3698 |                            28.3606 |               0 |             100 |                    91.9249 |    0.000695551 |        97.3145 |        91.2443 |
|  2 |            128 |            2048 |             128 |            8 |      2 |               128 |                       0 |        514002           |                     0.249026  |                510.006 |                        32124.5 |                        32144.4 |                        32106.6 |                        32144.4 |                        32133.6 |                        32124.7 |               91.5975 |                          156.321  |                           63.4665 |                          156.319  |                          112.162  |                           78.9048 |                  15.6487  |                          15.6645  |                          15.6268  |                          15.6645  |                          15.6595  |                          15.6527  |              0 |            100 |                   90.4329 |   0.000695551 |       96.132  |       88.2338 |              128 |                128 |                        0 |         872508           |                      0.146704  |                300.449  |                         54531   |                         54585.3 |                         54518.5 |                         54585.3 |                         54560.5 |                         54525.3 |               162.971  |                            297.891 |                           100.738  |                            297.881 |                           213.41   |                           182.944  |                    26.5599 |                            26.5971 |                            26.5205 |                            26.5971 |                            26.5881 |                            26.5485 |               0 |             100 |                    91.2996 |    0.000695551 |        97.3145 |        90.5404 |
|  3 |            128 |            2048 |            2048 |          128 |      4 |              2048 |                       0 |        637681           |                     3.21163   |               6577.43  |                        39853.4 |                        40347.1 |                        39557.3 |                        39999.5 |                        39886.1 |                        39833.9 |              529.771  |                          852.626  |                          362.649  |                          764.278  |                          695.44   |                          414.611  |                  19.2103  |                          19.3289  |                          19.1043  |                          19.3289  |                          19.305   |                          19.2642  |              0 |            100 |                   92.7713 |   0.000695551 |       95.513  |       90.4069 |             2048 |               2048 |                        0 |         849363           |                      2.41122   |               4938.18   |                         53082.6 |                         53731.6 |                         52572.9 |                         53187.2 |                         53148.3 |                         53077.3 |               840.323  |                           1329.44  |                           563.251  |                           1240.98  |                          1109.09   |                           700.213  |                    25.5215 |                            25.6888 |                            25.3461 |                            25.6888 |                            25.6674 |                            25.6092 |               0 |             100 |                    93.3162 |    0.000695551 |        96.1404 |        91.0996 |
|  4 |            128 |            2048 |             256 |           16 |      2 |               256 |                       0 |        532375           |                     0.480864  |                984.81  |                        33273   |                        33297.4 |                        33220   |                        33297.3 |                        33293.3 |                        33274.2 |              147.085  |                          199.584  |                           62.7797 |                          199.583  |                          178.345  |                          176.127  |                  16.1827  |                          16.2275  |                          16.1395  |                          16.2275  |                          16.2171  |                          16.1728  |              0 |            100 |                   91.2165 |   0.000695551 |       96.132  |       89.0441 |              256 |                256 |                        0 |         883910           |                      0.289622  |                593.147  |                         55243   |                         55365.4 |                         55017.7 |                         55365.4 |                         55353.3 |                         55258.4 |               265.381  |                            326.206 |                           214.018  |                            326.203 |                           324.683  |                           242.473  |                    26.8576 |                            26.929  |                            26.7423 |                            26.929  |                            26.9227 |                            26.8646 |               0 |             100 |                    91.2767 |    0.000695551 |        97.3089 |        90.7985 |
|  5 |            128 |            2048 |              32 |            2 |      2 |                32 |                       0 |        500040           |                     0.0639948 |                131.061 |                        31252.5 |                        31292.3 |                        31222.4 |                        31292.3 |                        31268.9 |                        31252.4 |               50.7376 |                          101.175  |                           47.2535 |                          101.175  |                           47.6407 |                           47.3252 |                  15.2427  |                          15.2524  |                          15.2297  |                          15.2524  |                          15.2505  |                          15.2425  |              0 |             99 |                   89.9842 |   0.000695551 |       96.1334 |       88.1476 |               32 |                 32 |                        0 |         849887           |                      0.0376521 |                 77.1114 |                         53117.9 |                         53190.6 |                         53101.1 |                         53190.6 |                         53147.9 |                         53107.3 |                87.4444 |                            122.009 |                            84.847  |                            122.009 |                            85.3719 |                            85.1869 |                    25.9064 |                            25.9251 |                            25.8993 |                            25.9251 |                            25.9221 |                            25.9025 |               0 |             100 |                    91.3151 |    0.000695551 |        97.3089 |        90.3551 |
|  6 |            128 |            2048 |              64 |            4 |      2 |                64 |                       0 |        499980           |                     0.128005  |                262.154 |                        31248.2 |                        31294.4 |                        31104.4 |                        31294.4 |                        31284   |                        31272.1 |               77.4867 |                          132.334  |                           61.4155 |                          132.334  |                           94.8071 |                           62.992  |                  15.2275  |                          15.255   |                          15.165   |                          15.255   |                          15.2506  |                          15.2352  |              0 |            100 |                   90.117  |   0.000695551 |       96.1334 |       88.1515 |               64 |                 64 |                        0 |         870656           |                      0.0735078 |                150.544  |                         54414.7 |                         54497.6 |                         54330.8 |                         54497.6 |                         54432.1 |                         54424.5 |               107.88   |                            187.175 |                           100.671  |                            187.175 |                           124.058  |                           101.342  |                    26.5299 |                            26.5589 |                            26.4901 |                            26.5589 |                            26.5415 |                            26.5324 |               0 |             100 |                    91.1907 |    0.000695551 |        97.3145 |        90.3181 |
|  7 |            128 |            2048 |             512 |           32 |      4 |               512 |                       0 |        441051           |                     1.16086   |               2377.45  |                        27565.4 |                        27586.3 |                        27494.5 |                        27586.2 |                        27586   |                        27573.6 |              186.851  |                          281.5    |                           53.2567 |                          281.491  |                          210.827  |                          210.204  |                  13.375   |                          13.4438  |                          13.3196  |                          13.4438  |                          13.4377  |                          13.3689  |              0 |             99 |                   90.8152 |   0.000695551 |       95.5047 |       88.0964 |              512 |                512 |                        0 |         642848           |                      0.796456  |               1631.14   |                         40177.6 |                         40327.4 |                         40156.9 |                         40327.4 |                         40176.3 |                         40169.4 |               275.575  |                            469.046 |                            61.0885 |                            469.037 |                           302.681  |                           301.068  |                    19.493  |                            19.6608 |                            19.4705 |                            19.5868 |                            19.5823 |                            19.4766 |               0 |             100 |                    91.6492 |    0.000695551 |        96.1279 |        89.7038 |
|  8 |            128 |            2048 |             256 |           16 |      4 |               256 |                       0 |        401257           |                     0.637995  |               1306.61  |                        25078.3 |                        25131.9 |                        24902.4 |                        25131.9 |                        25128.1 |                        25111.9 |              112.845  |                          202.304  |                           42.2519 |                          202.291  |                          125.319  |                          124.884  |                  12.1961  |                          12.2507  |                          12.0955  |                          12.2507  |                          12.243   |                          12.2087  |              0 |            100 |                   90.3883 |   0.000695551 |       95.5047 |       87.5568 |              256 |                256 |                        0 |         608217           |                      0.420902  |                862.008  |                         38013.2 |                         38043.2 |                         38004.8 |                         38043.2 |                         38021.1 |                         38012.3 |               161.559  |                            221.095 |                            62.1509 |                            221.085 |                           187.277  |                           186.518  |                    18.4913 |                            18.5451 |                            18.4749 |                            18.5451 |                            18.5306 |                            18.479  |               0 |             100 |                    91.8189 |    0.000695551 |        96.1279 |        89.564  |
